SampleID	Status	TotalNumReads	NumUniquelyMappedReads	UniquelyMappedReadsPercentage
C91	C-N	7,377,949	6,212,975	84.21%
C92	C-N	6,490,139	5,229,779	80.58%
C93	C-N	9,183,238	7,910,546	86.14%
C94	C-N	8,961,017	7,675,137	85.65%
C95	C-N	9,025,676	7,600,017	84.20%
C96	C-N	8,148,798	6,940,255	85.17%
N1	N	9,263,850	7,883,088	85.10%
N2	N	8,862,600	7,309,574	82.48%
N3	N	7,524,176	5,704,954	75.82%
N4	N	8,087,304	6,787,790	83.93%
N5	N	9,212,857	7,916,254	85.93%
N6	N	9,459,977	8,084,035	85.46%
N7	N	8,873,306	6,506,505	73.33%
N8	N	9,647,151	7,914,755	82.04%
N9	N	10,720,753	8,372,183	78.09%
N10	N	8,960,995	7,402,048	82.60%
N11	N	10,753,306	7,408,864	68.90%
N12	N	6,838,430	4,927,597	72.06%
N13	N	8,016,497	5,224,664	65.17%
N14	N	7,248,737	5,116,580	70.59%
N15	N	9,317,317	7,675,978	82.38%
N16	N	8,843,226	6,532,444	73.87%
N17	N	8,434,973	6,172,272	73.17%
N18	N	9,288,594	7,687,495	82.76%
N19	N	8,630,942	6,698,816	77.61%
N20	N	9,595,997	7,987,941	83.24%
N21	N	6,312,539	5,105,886	80.88%
N22	N	7,039,294	5,621,452	79.86%
N23	N	8,815,317	7,204,811	81.73%
N24	N	7,331,502	5,925,628	80.82%
N25	N	9,740,427	8,104,113	83.20%
N26	N	7,231,993	5,758,838	79.63%
N27	N	10,230,936	8,327,144	81.39%
N28	N	8,579,794	7,286,744	84.93%
N29	N	10,808,607	8,789,442	81.32%
N30	N	7,312,205	5,604,035	76.64%
N31	N	9,232,461	6,992,056	75.73%
N32	N	8,964,442	7,278,097	81.19%
